space,ensemble,whole,lineage_name,asphericityMon-mean,fsdMon-mean,gyrMon-mean,shapeMon-mean,shapeMon-mean,transSizeMon-mean
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens1,,0.987290083562404,129.1389739630127,37.95937158271323,1.9619963923041053,1.9619963923041053,4.511064941000939
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens2,,0.987245470650246,129.0952547560628,37.967423829616045,1.9618641907149716,1.9618641907149716,4.51159591023922
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens3,,0.9872133628801808,128.80930431851704,37.86809120971501,1.961768031366175,1.961768031366175,4.5123887152902284
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens4,,0.9873335544600206,129.33765746398925,38.02749830725894,1.9621262866066669,1.9621262866066669,4.509370018315315
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens5,,0.987133409697602,128.62613162439982,37.76611894296407,1.9615297410617147,1.9615297410617147,4.514627728014787
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens6,,0.987046609812266,128.2889668767802,37.67986143746269,1.961271550804894,1.961271550804894,4.515864271282355
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens7,,0.9871274311961372,128.57421653559368,37.788911887194985,1.9615123667574792,1.9615123667574792,4.514990293002128
N500D10.0ac0.8,N500D10.0ac0.8nc0,N500epsilon5.0r5.5lz205.0sig0.8nc0dt0.002bdump1000adump5000ens8,,0.9871651658352096,128.64992309486388,37.80610925782133,1.9616241715786835,1.9616241715786835,4.513745646563371
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens1,,0.987290083562404,129.1389739630127,37.95937158271323,1.9619963923041053,1.9619963923041053,4.511064941000939
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens2,,0.987245470650246,129.0952547560628,37.967423829616045,1.9618641907149716,1.9618641907149716,4.51159591023922
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens3,,0.9872133628801808,128.80930431851704,37.86809120971501,1.961768031366175,1.961768031366175,4.5123887152902284
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens4,,0.9873335544600206,129.33765746398925,38.02749830725894,1.9621262866066669,1.9621262866066669,4.509370018315315
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens5,,0.987133409697602,128.62613162439982,37.76611894296407,1.9615297410617147,1.9615297410617147,4.514627728014787
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens6,,0.987046609812266,128.2889668767802,37.67986143746269,1.961271550804894,1.961271550804894,4.515864271282355
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens7,,0.9871274311961372,128.57421653559368,37.788911887194985,1.9615123667574792,1.9615123667574792,4.514990293002128
N500D10.0ac1.0,N500D10.0ac1.0nc0,N500epsilon5.0r5.5lz205.0sig1.0nc0dt0.002bdump1000adump5000ens8,,0.9871651658352096,128.64992309486388,37.80610925782133,1.9616241715786835,1.9616241715786835,4.513745646563371
